Results for model EVA02-E-14-plus - laion2b_s9b_b144k:
Top-32 Precision: 0.03082549634273772 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-33 Precision: 0.029891390392958395 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-34 Precision: 0.029042965148442467 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-35 Precision: 0.028213166144200535 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-36 Precision: 0.027429467084640013 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-37 Precision: 0.02677285435906146 	 Recall: 0.9905956112852664 	 Accuracy: 0.9905956112852664
Top-38 Precision: 0.026150800197987604 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-39 Precision: 0.025533853120059933 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-40 Precision: 0.02492163009404359 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-41 Precision: 0.024313785457603234 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-42 Precision: 0.02375976513907593 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-43 Precision: 0.02323151320745501 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-44 Precision: 0.02270352427092277 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-45 Precision: 0.022199001509346266 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-46 Precision: 0.021739130434782476 	 Recall: 1.0 	 Accuracy: 1.0
Top-47 Precision: 0.021276595744680618 	 Recall: 1.0 	 Accuracy: 1.0
Top-48 Precision: 0.020833333333333287 	 Recall: 1.0 	 Accuracy: 1.0
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model convnext_xxlarge - laion2b_s34b_b82k_augreg_soup:
Top-1 Precision: 0.24869383490073146 	 Recall: 0.24869383490073146 	 Accuracy: 0.24869383490073146
Top-2 Precision: 0.2471264367816092 	 Recall: 0.4942528735632184 	 Accuracy: 0.4942528735632184
Top-3 Precision: 0.20202020202020318 	 Recall: 0.6060606060606061 	 Accuracy: 0.6060606060606061
