Results for model ViT-L-14-quickgelu - dfn2b:
Top-23 Precision: 0.040525191949479705 	 Recall: 0.9320794148380356 	 Accuracy: 0.9320794148380356
Top-24 Precision: 0.03896725879484507 	 Recall: 0.93521421107628 	 Accuracy: 0.93521421107628
Top-25 Precision: 0.037617554858933554 	 Recall: 0.9404388714733543 	 Accuracy: 0.9404388714733543
Top-26 Precision: 0.03621091552126113 	 Recall: 0.9414838035527691 	 Accuracy: 0.9414838035527691
Top-27 Precision: 0.03502457525446069 	 Recall: 0.9456635318704284 	 Accuracy: 0.9456635318704284
Top-28 Precision: 0.03381101656963693 	 Recall: 0.9467084639498433 	 Accuracy: 0.9467084639498433
Top-29 Precision: 0.032753215868555244 	 Recall: 0.9498432601880877 	 Accuracy: 0.9498432601880877
Top-30 Precision: 0.03169627307558412 	 Recall: 0.9508881922675027 	 Accuracy: 0.9508881922675027
Top-31 Precision: 0.03070752014022296 	 Recall: 0.9519331243469175 	 Accuracy: 0.9519331243469175
Top-32 Precision: 0.029780564263322883 	 Recall: 0.9529780564263323 	 Accuracy: 0.9529780564263323
Top-33 Precision: 0.028878122922010644 	 Recall: 0.9529780564263323 	 Accuracy: 0.9529780564263323
Top-34 Precision: 0.028028766365480948 	 Recall: 0.9529780564263323 	 Accuracy: 0.9529780564263323
Top-35 Precision: 0.02722794446932369 	 Recall: 0.9529780564263323 	 Accuracy: 0.9529780564263323
Top-36 Precision: 0.026529664460699435 	 Recall: 0.955067920585162 	 Accuracy: 0.955067920585162
Top-37 Precision: 0.025869129317405346 	 Recall: 0.9571577847439916 	 Accuracy: 0.9571577847439916
Top-38 Precision: 0.025215860969037458 	 Recall: 0.9582027168234065 	 Accuracy: 0.9582027168234065
Top-39 Precision: 0.024596093561610723 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-40 Precision: 0.023981191222570288 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-41 Precision: 0.02339628411958048 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-42 Precision: 0.022913867741454333 	 Recall: 0.9623824451410659 	 Accuracy: 0.9623824451410659
Top-43 Precision: 0.022429588588369263 	 Recall: 0.9644723092998955 	 Accuracy: 0.9644723092998955
Top-44 Precision: 0.022038567493113306 	 Recall: 0.9696969696969697 	 Accuracy: 0.9696969696969697
Top-45 Precision: 0.02164170440032502 	 Recall: 0.9738766980146291 	 Accuracy: 0.9738766980146291
Top-46 Precision: 0.0211939484803052 	 Recall: 0.9749216300940439 	 Accuracy: 0.9749216300940439
Top-47 Precision: 0.02083194379599346 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
Top-48 Precision: 0.020463253221873888 	 Recall: 0.9822361546499477 	 Accuracy: 0.9822361546499477
Top-49 Precision: 0.020152261531571916 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model ViT-B-16-plus-240 - laion400m_e31:
Top-1 Precision: 0.1755485893416928 	 Recall: 0.1755485893416928 	 Accuracy: 0.1755485893416928
Top-2 Precision: 0.16300940438871472 	 Recall: 0.32601880877742945 	 Accuracy: 0.32601880877742945
Top-3 Precision: 0.13479623824451337 	 Recall: 0.4043887147335423 	 Accuracy: 0.4043887147335423
Top-4 Precision: 0.1235632183908046 	 Recall: 0.4942528735632184 	 Accuracy: 0.4942528735632184
Top-5 Precision: 0.10867293625914413 	 Recall: 0.5433646812957158 	 Accuracy: 0.5433646812957158
Top-6 Precision: 0.0975269940787187 	 Recall: 0.5851619644723093 	 Accuracy: 0.5851619644723093
Top-7 Precision: 0.08926705478429615 	 Recall: 0.6248693834900731 	 Accuracy: 0.6248693834900731
Top-8 Precision: 0.08189655172413793 	 Recall: 0.6551724137931034 	 Accuracy: 0.6551724137931034
Top-9 Precision: 0.07581562753976658 	 Recall: 0.6823406478578893 	 Accuracy: 0.6823406478578893
Top-10 Precision: 0.07042842215256055 	 Recall: 0.7042842215256009 	 Accuracy: 0.7042842215256009
Top-11 Precision: 0.06630569013014237 	 Recall: 0.7293625914315569 	 Accuracy: 0.7293625914315569
Top-12 Precision: 0.06391501219087493 	 Recall: 0.7669801462904912 	 Accuracy: 0.7669801462904912
Top-13 Precision: 0.06012378426171633 	 Recall: 0.7816091954022989 	 Accuracy: 0.7816091954022989
Top-14 Precision: 0.05754590237348821 	 Recall: 0.8056426332288401 	 Accuracy: 0.8056426332288401
Top-15 Precision: 0.054615116684083156 	 Recall: 0.819226750261233 	 Accuracy: 0.819226750261233
Top-16 Precision: 0.05231191222570533 	 Recall: 0.8369905956112853 	 Accuracy: 0.8369905956112853
Top-17 Precision: 0.04991087344028603 	 Recall: 0.8484848484848485 	 Accuracy: 0.8484848484848485
Top-18 Precision: 0.04806687565308339 	 Recall: 0.8652037617554859 	 Accuracy: 0.8652037617554859
Top-19 Precision: 0.046032007919486 	 Recall: 0.8746081504702194 	 Accuracy: 0.8746081504702194
