Results for model ViTamin-XL-384 - datacomp1b:
Top-47 Precision: 0.021254363147246262 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-48 Precision: 0.020833333333333287 	 Recall: 1.0 	 Accuracy: 1.0
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model nllb-clip-large - v1:
Top-1 Precision: 0.11912225705329153 	 Recall: 0.11912225705329153 	 Accuracy: 0.11912225705329153
Top-2 Precision: 0.10344827586206896 	 Recall: 0.20689655172413793 	 Accuracy: 0.20689655172413793
Top-3 Precision: 0.1024033437826538 	 Recall: 0.3072100313479624 	 Accuracy: 0.3072100313479624
Top-4 Precision: 0.1042319749216301 	 Recall: 0.4169278996865204 	 Accuracy: 0.4169278996865204
Top-5 Precision: 0.09655172413793184 	 Recall: 0.4827586206896552 	 Accuracy: 0.4827586206896552
Top-6 Precision: 0.09108324625566035 	 Recall: 0.5464994775339603 	 Accuracy: 0.5464994775339603
Top-7 Precision: 0.08493805045529194 	 Recall: 0.5945663531870429 	 Accuracy: 0.5945663531870429
Top-8 Precision: 0.07902298850574713 	 Recall: 0.632183908045977 	 Accuracy: 0.632183908045977
Top-9 Precision: 0.0727969348659014 	 Recall: 0.6551724137931034 	 Accuracy: 0.6551724137931034
Top-10 Precision: 0.06896551724137986 	 Recall: 0.6896551724137931 	 Accuracy: 0.6896551724137931
Top-11 Precision: 0.06450080744751668 	 Recall: 0.709508881922675 	 Accuracy: 0.709508881922675
Top-12 Precision: 0.060257749912922896 	 Recall: 0.723092998955068 	 Accuracy: 0.723092998955068
Top-13 Precision: 0.056828229242023236 	 Recall: 0.7387669801462905 	 Accuracy: 0.7387669801462905
Top-14 Precision: 0.053515450067173946 	 Recall: 0.7492163009404389 	 Accuracy: 0.7492163009404389
Top-15 Precision: 0.05078369905956189 	 Recall: 0.7617554858934169 	 Accuracy: 0.7617554858934169
Top-16 Precision: 0.048132183908045974 	 Recall: 0.7701149425287356 	 Accuracy: 0.7701149425287356
Top-17 Precision: 0.046161411272973754 	 Recall: 0.7847439916405433 	 Accuracy: 0.7847439916405433
Top-18 Precision: 0.044119354464182775 	 Recall: 0.7941483803552769 	 Accuracy: 0.7941483803552769
Top-19 Precision: 0.042842215256009036 	 Recall: 0.8140020898641588 	 Accuracy: 0.8140020898641588
Top-20 Precision: 0.04106583072100303 	 Recall: 0.8213166144200627 	 Accuracy: 0.8213166144200627
Top-21 Precision: 0.03955814300641919 	 Recall: 0.8307210031347962 	 Accuracy: 0.8307210031347962
Top-22 Precision: 0.03833000854944484 	 Recall: 0.8432601880877743 	 Accuracy: 0.8432601880877743
Top-23 Precision: 0.037163236563536504 	 Recall: 0.8547544409613375 	 Accuracy: 0.8547544409613375
Top-24 Precision: 0.03587600139324301 	 Recall: 0.8610240334378265 	 Accuracy: 0.8610240334378265
Top-25 Precision: 0.03490073145245503 	 Recall: 0.8725182863113897 	 Accuracy: 0.8725182863113897
Top-26 Precision: 0.03396029258098292 	 Recall: 0.8829676071055381 	 Accuracy: 0.8829676071055381
Top-27 Precision: 0.03301211347188391 	 Recall: 0.8913270637408568 	 Accuracy: 0.8913270637408568
Top-28 Precision: 0.0320570234363335 	 Recall: 0.8975966562173459 	 Accuracy: 0.8975966562173459
Top-29 Precision: 0.03131193024177613 	 Recall: 0.9080459770114943 	 Accuracy: 0.9080459770114943
Top-30 Precision: 0.03040752351097242 	 Recall: 0.9122257053291536 	 Accuracy: 0.9122257053291536
Top-31 Precision: 0.029730003033673624 	 Recall: 0.9216300940438872 	 Accuracy: 0.9216300940438872
Top-32 Precision: 0.029062173458725183 	 Recall: 0.9299895506792059 	 Accuracy: 0.9299895506792059
